refcode,LCD,PLD,Density,status
VAGMAT,14.921,13.263,0.365,existing
XAFFAN,14.913,13.243,0.365,existing
XAFFIV,14.229,13.194,0.358,existing
XAFFER,14.219,13.289,0.360,existing
XAFFOB,14.839,13.174,0.367,existing
LURRIA,22.373,9.741,0.407,existing
RICBEM,11.375,8.592,0.399,existing
VAGMEX,15.281,14.489,0.352,existing
UJILAA,19.234,9.515,0.420,existing
EDUVOO,20.934,10.629,0.373,existing
RAYMOV,13.905,9.657,0.424,existing
MEHMET,21.825,9.070,0.409,existing
ERIRIG,11.678,9.576,0.427,canonical
SAHYIK,14.946,7.831,0.605,canonical
DUDKUK,8.848,6.664,0.844,existing
FIQCEN,13.190,6.657,0.879,canonical
FISXEM,15.700,15.647,0.982,existing
ORIVUI,11.752,10.982,1.198,canonical
ORIVOC,11.637,10.861,1.230,canonical
VOGTIV,11.640,10.763,0.915,canonical
PETWUI,10.450,5.061,1.579,existing
ORIWAP,11.383,11.039,1.173,canonical
FAWCEN,11.324,3.254,0.948,canonical
PIBGAK,6.088,5.560,1.082,existing
WOJZOM,5.770,3.852,1.252,existing
TURDUH,6.624,4.369,1.030,existing
LAGNUE,5.289,4.847,1.299,existing
PEKVUY,5.428,3.780,2.827,existing
KAVKIC,5.021,3.474,2.573,existing
WOPWOO,5.251,4.086,2.122,existing
HENYUV,4.338,2.980,1.549,existing
TOTVUV,3.891,3.141,2.642,existing
OPOBOL,3.228,2.645,1.973,existing
ECOTOG,2.795,2.421,1.835,existing
QIYDAF01,22.001,13.579,0.303,new
YUSWEP,37.318,13.006,0.404,new
XANLOP,26.491,11.104,0.454,new
UDALUI,24.102,23.572,0.422,new
HEXVEM,28.431,15.918,0.252,new
SEMNEF,30.847,12.937,0.237,new
NIBJAK,32.002,17.552,0.223,new
TOFTIT,20.171,6.283,0.598,new
VEGCAN,26.231,8.971,0.749,new
QIYDOT,19.819,17.064,0.212,new
IZEPEJ,23.874,6.753,0.545,new
ESEBOV,25.103,17.213,0.432,new
QEFWUV,32.360,28.268,0.474,new
BUNLAZ,38.396,36.093,0.331,new
OCUNAC,36.151,14.047,0.428,new
UNUNEY,34.007,17.638,0.238,new
DOGBAE,25.818,14.433,0.554,new
XAHPUT,21.828,20.586,0.179,new
EMIZAD,35.589,34.511,0.382,new
BUNKUS,39.111,37.476,0.375,new
UHUPOD01,33.078,21.404,0.191,new
JALTUL,4.541,3.687,0.521,new
BUXZAX,33.377,31.816,0.555,new
AVAJUE,37.526,19.541,0.164,new
SAPBIW,28.193,23.240,0.306,new
XUFYAA,16.802,4.606,0.589,new
ABEXEN,18.808,13.719,0.674,new
FOTNIN,33.622,29.929,0.240,new
RAVWIW,30.701,30.144,0.362,new
RAVWOC,28.218,27.560,0.384,new
XIGFOJ,18.909,18.730,0.692,new
RAVWUI,36.788,36.433,0.335,new
RAVXAP,34.860,34.355,0.286,new
LETREJ,35.315,34.297,0.678,new
TUKBAE,13.900,12.786,0.854,new
RAVXET,38.228,38.066,0.327,new
DUZKAM,21.490,20.918,0.764,new
LETRAF,26.760,26.504,0.734,new
IJEXUS,21.632,16.254,0.800,new
XOGQUH,17.167,10.277,0.963,new
VOXTOT,21.548,10.349,0.867,new
XICYUF,28.679,6.714,0.993,new
MUWRIH,20.227,4.137,1.113,new
GUPCEA,20.257,7.869,1.055,new
MAHDOR,10.738,7.628,1.297,new
GAGSUF,13.276,13.091,1.532,new
BETHEP,15.940,5.386,1.550,new
UKESOU,14.121,9.201,1.644,new
ZOQTAC,8.590,6.289,2.146,new
ISENIF,11.935,5.304,2.600,new
DOPJEY,10.282,8.738,1.769,new
RUYGOJ,9.329,9.189,2.602,new
VEJZOA,14.859,2.460,1.304,new
EJEGUW,13.229,3.024,3.227,new
ZOKGAJ,17.392,16.362,1.589,new
ETABEH,10.934,2.746,2.108,new
QURPOK,8.433,2.623,1.655,new
COWDEZ,8.911,4.467,4.137,new
WANBIY,8.873,5.800,3.318,new
NEYYOG,12.401,10.675,2.299,new
YEGKIG,4.901,3.570,5.177,new
ROQFUA08,5.115,2.761,4.009,new
ERANAO,3.912,3.566,6.444,new
LIQGAU,3.410,2.483,4.601,new
RUBLEH,3.593,2.841,7.456,new
BALMUW01,3.222,2.730,3.389,new
